Agricultural Zone,Month,Week,Rainfall (mm),Mean Temp. (*C),RHmean (%),SShr (hrs),WD (deg),WS (Km/hr),label
Khulna,April,1,12.353691480846274,29.474491237183255,71.3509118230834,58.4636835770821,204.7859200256591,7.1499356245819605,jute
Faridpur,March,1,4.781151950539709,23.804604600044218,66.03420344782172,54.30455622268305,223.76106504625142,4.655468379063946,jute
Bogra,March,1,5.317901727513467,22.90848494882895,63.26583270078939,60.53553487811568,232.05350271113147,5.712868234145307,jute
Barisal,March,1,5.769312461471448,24.438808322695564,71.17369878039973,53.625736228973004,213.54235531216693,5.129047052909027,jute
Faridpur,March,1,5.581942951214791,24.32768066724149,66.07424859767823,54.3663765519308,221.62858302313518,4.581406548444922,jute
Bogra,March,1,5.0339175364698825,23.113133928389992,63.27714122044407,60.05910566157877,233.89571813203185,5.6835343403416765,jute
Dinajpur,March,1,2.995254448472105,24.21125894672977,60.83860093341535,59.35052553225951,213.24989441015214,5.344552123429259,jute
Mymensingh,March,1,1.2063036033946366,22.86131953073854,67.97713477457586,50.784334795444806,214.65724551409275,5.016284554835971,jute
Mymensingh,March,1,0.9588560712683648,23.161607899320064,66.85416505307985,51.271203961519944,215.07728385500798,4.980751565822234,jute
Rangpur,March,1,2.3823904296915965,21.832249784913127,67.5887965751791,56.384393972401696,202.22070516463057,7.647415283511747,jute
Bogra,March,1,4.51715996732777,22.584612892932068,63.19208663766923,59.84554856941928,234.80462598059705,5.606953641408801,jute
Barisal,March,1,5.480055775944109,24.158680294226286,71.29901227655284,53.53255071084175,213.47292862391856,5.230837022885087,jute
Jashore,April,1,12.165935948120563,29.210242259314718,67.57681098551616,55.67907317815314,209.52321305510472,5.091895095633916,jute
Dhaka,March,1,3.6397309630992156,23.95665619514454,63.86357031781612,56.1439646873582,233.43350229194436,4.943336470075375,jute
Dhaka,March,1,3.3043174103842254,23.41579662867411,62.68433130586701,55.65329577544426,233.49282370527695,4.9711129894294785,jute
Rajshahi,March,2,2.8804316151171103,25.155758478383376,59.097491070855384,58.83262780879358,212.75044966655423,5.268025086024656,jute
Rangpur,March,1,2.6177702371525227,21.590968477330133,67.71727846531198,56.5580639656481,200.35886406805503,7.541396261584991,jute
Bogra,March,1,4.579323279664995,23.156795672501925,63.1065853547786,59.74597737698349,235.89718997067004,5.656731528031329,jute
Barisal,March,1,4.7497520176077455,24.854432281606186,70.73661077023513,54.01003193297025,213.54986345652466,5.174467986122051,jute
Bogra,March,1,4.559122698122172,22.832910644099194,62.98869960656878,59.78572346239793,235.59969878881202,5.584101526132325,jute
Dinajpur,March,1,4.164309571371159,23.933905143995894,60.85504671405647,58.981774888926395,210.4562719908115,5.343305289151588,jute
Rajshahi,March,2,2.6526438632161793,25.45523213552988,60.14583474635727,59.37512966604272,215.7485911897516,5.3075568412796255,jute
Jashore,April,1,11.961589854891951,29.258719116791383,67.27465376941173,55.620587089982635,209.82576848484888,5.271156166221445,jute
Jashore,April,1,11.957447043011722,28.887351286312292,66.30503372213084,55.45882309766082,209.557576394908,5.046441980282202,jute
Dhaka,March,1,3.319254570881333,23.757662792264362,63.43551374339594,56.07076283053818,234.22447021082374,4.973365445921777,jute
Khulna,April,1,13.09729817301118,29.302844232803167,71.89722867869925,58.91142958102987,202.46841752685003,7.130101096690679,jute
Khulna,April,1,13.049033760921905,28.9590817431753,70.6115100803654,59.16751540403394,201.31028794927684,7.073021575074284,jute
Jashore,April,1,11.218023422026416,29.333865316801205,66.87291445632299,56.101241494416286,209.15576267293616,4.98554176404446,jute
Dinajpur,March,1,4.3441452143196555,24.3732247179157,61.56878973444858,59.549858509057046,211.4279826951268,5.408342987794527,jute
Dhaka,March,1,2.2715708585534156,23.614177327259956,62.91551085455067,56.05073262862023,235.14259762019284,5.0121681274357055,jute
Mymensingh,March,1,0.2319480011726277,23.331778396111797,67.14963043306767,51.20811894285566,215.208579310942,5.025477160335812,jute
Bogra,April,1,7.565773596785651,28.58064193704792,66.13418386161278,56.02455612776997,175.28406819859552,6.703472951723495,khorip green chilli
Dinajpur,April,1,7.246787656306067,26.774060062270802,63.187414508950525,52.0083783431657,173.49303712737188,5.544395237866339,khorip green chilli
Rangpur,April,1,11.303679171141917,26.286252899474913,68.36482296256852,51.6915314504944,148.18851582708228,4.448594612800585,khorip green chilli
Bogra,April,1,8.020484161711725,28.5996986735682,66.49615562745328,56.36798120153279,172.63078099686535,6.799330015641263,khorip green chilli
Rangpur,April,1,11.250843293315988,26.071633516637252,68.83397295846407,51.54864419061466,151.1521844725322,4.343466519843214,khorip green chilli
Jashore,April,1,11.40579923008309,29.162883175687462,66.21103072788394,55.068981634062325,208.8199016483726,5.100046095983071,khorip green chilli
Jashore,April,1,11.432326597860666,29.443630662953463,67.16291364704418,55.66250428930375,209.17173098202454,5.000771750711553,khorip green chilli
Bogra,April,1,7.801944017705844,28.68341899971929,66.32735485408445,55.822730283991966,169.30055830543347,6.835219424399878,khorip green chilli
Barisal,April,3,25.175469437053952,29.243529610365226,78.76807805423353,55.04022585478257,197.4646511904011,7.526999187299573,khorip green chilli
Bogra,April,1,7.737207573496189,28.498383240557363,65.44247422616289,55.82540095278478,173.79917125060024,6.8276699726550385,khorip green chilli
Jashore,April,1,12.623770040631895,29.295338047942547,67.34476380633252,55.44009095639687,209.74066393853664,5.284306433216573,khorip green chilli
Bogra,April,1,6.2564299783772555,28.356407661699397,65.79238326479422,55.76697849092902,171.13284686767054,6.725100478514058,khorip green chilli
Faridpur,April,1,18.353924347266833,28.728337697893682,77.16643044627777,52.61070425035049,195.25539773275537,6.886000952801591,khorip green chilli
Rangpur,April,1,10.241857923711178,26.169452911578624,69.36667838769871,51.4624750863906,143.86195049491758,4.539820605790707,khorip green chilli
Dinajpur,April,1,7.8670904047633705,26.59245452259377,62.468116315333376,51.74979816437761,169.16416418743464,5.411310041130371,khorip green chilli
Bogra,April,1,7.676758322936204,28.632650564486024,65.81167552583747,56.038517248319074,172.45636571020518,6.835128589525235,khorip green chilli
Rajshahi,April,1,12.282351966533733,29.212433802815692,61.00662763310051,57.089612656992756,183.547573154451,6.140713568649354,khorip green chilli
Faridpur,April,1,18.686150184184157,28.701423184843073,76.8101172589721,52.826865699954524,199.65291332702913,6.761865300910215,khorip green chilli
Jashore,April,1,11.878868180487204,29.44222137461929,67.25349295287819,55.61418380125509,204.91325314187253,4.824795237592526,khorip green chilli
Rangpur,April,1,10.40749579493533,26.152676338101763,69.23796563433702,51.450740648950834,145.99730396911303,4.312213127031472,khorip green chilli
Jashore,April,1,12.305469264418575,29.028875990768878,66.88893194942204,55.5981205763464,210.0458150714985,4.994984396525205,khorip green chilli
Barisal,April,3,25.621121291098106,29.008048685740253,79.27044537611236,54.89821490698765,196.15360086425736,7.454330803238479,khorip green chilli
Dinajpur,April,1,7.176813999495896,26.831281846601552,63.03975564805795,51.94749561604193,169.30981768441794,5.637633820364869,khorip green chilli
Bogra,April,1,7.449332831646569,28.499386328679677,66.4977342111511,56.13194033257221,169.82986403150338,6.857840422157246,khorip green chilli
Bogra,April,1,7.854403797879913,28.367158137107438,65.84037791871572,55.96826105575606,172.96797060795316,6.792672155266521,khorip green chilli
Cumilla,March,1,7.172347658677242,24.971173113137397,71.88681332047534,52.404567910293096,216.3502590459236,4.995503811525352,khorip green chilli
Rangpur,April,1,10.634176458099056,26.092156081925047,68.99361558410081,51.48926591694135,147.09499221607786,4.151782809696452,khorip green chilli
Barisal,April,3,24.60196008759208,29.087800795721545,78.71044887856391,54.66523304454143,196.38281980982117,7.496573435567035,khorip green chilli
Rajshahi,April,1,13.111525936420426,29.036065478954864,61.25049518506027,56.78815681313246,182.14783058173134,6.00310073826797,khorip green chilli
Jashore,April,1,11.117423715089938,29.399427287866462,67.3580811886501,55.52972628454278,212.59972734667082,5.115742918087387,khorip green chilli
Bogra,April,1,7.797864023304856,28.460520437876106,65.9769957310522,56.10753851725811,172.88563567686688,6.618241341494615,khorip green chilli
Rangpur,April,1,10.984059365004306,26.25806335825356,68.14181824677998,51.369985689376485,146.62401186259467,4.349844659316648,khorip green chilli
Jashore,April,1,11.730750068394643,29.4200536061898,66.5246688505972,55.413910306619144,212.47119372764098,5.184155721114903,khorip green chilli
Bogra,April,1,7.618796189479743,28.594122473065863,65.56852995243365,56.0004316350645,173.74268330617676,6.772825306280539,khorip green chilli
Barisal,April,3,24.716429116456883,28.96192019242093,78.91919802976268,55.133618651251915,199.62486317808393,7.4641161417517035,khorip green chilli
Barisal,April,3,25.501409386033394,29.05460307312151,78.93956636628073,54.66300174591712,195.070112818206,7.351445319092451,khorip green chilli
Barisal,April,3,24.483420723104835,29.326921187051166,78.4230019215982,54.948892826894294,197.38528133427533,7.520045723362159,khorip green chilli
Bogra,April,1,8.808058271904908,28.509406841964648,66.74084218889075,55.787308710543954,171.9886289064632,6.63369668429822,khorip green chilli
Rajshahi,April,1,13.900701996411092,28.89351930274802,61.19838330253228,57.09265057485576,184.18020503321839,5.901060888743614,khorip green chilli
Dinajpur,April,1,8.202761787702343,26.727886890993833,63.37357243980518,51.89313677469433,165.40522624977638,5.708853834712359,khorip green chilli
Dinajpur,April,1,7.9184405266459565,26.42727305365123,63.24630475425204,51.77005708949276,173.30569221732122,5.671814684068193,khorip green chilli
Rajshahi,April,1,12.998330657110056,29.281533606437595,60.608658327340756,57.12250656459247,183.86408900013578,6.1779682976030275,khorip green chilli
Dinajpur,April,1,7.371050428066381,26.401479868354063,64.11479350880865,52.19585738577417,173.9711097976291,5.459603655061786,khorip green chilli
Barisal,April,3,24.5509836478222,28.903797763509957,80.38781710020544,54.438422223310845,195.89613194667797,7.579478882264976,khorip green chilli
Faridpur,April,1,18.8135310083619,28.592085617775776,76.72707810341761,53.46820759829898,204.10722896948693,7.0572374447512916,khorip green chilli
Dinajpur,April,1,7.916427988446584,26.434787064758982,62.78826765766806,51.97691978204928,173.3815876793642,5.67947603126625,khorip green chilli
Jashore,April,1,12.282058625926238,29.292843107258292,66.42729248937445,55.61280035668632,206.5772350008853,5.189873509669424,khorip green chilli
Rangpur,April,1,11.340215517249671,26.12801827478398,68.62764478672948,51.09963344054375,150.54108247772098,4.110638510766641,khorip green chilli
Cumilla,March,1,8.095967921247317,25.054570054262022,70.46046537864967,52.280057132436355,213.39036533322493,4.751519829812032,khorip green chilli
Bogra,April,1,8.920107849277109,28.317696565307948,66.50607080362882,56.09952740995459,175.66071626290997,6.622563562191084,khorip green chilli
Cumilla,March,1,6.452588571406695,25.180379157680157,71.06787656741749,52.62608186974553,218.76535562050353,4.753655482863305,khorip green chilli
Cumilla,March,1,6.279176716644896,24.785621295709607,70.04820682686882,52.35331668631231,218.70479007490079,4.756764955888313,khorip green chilli
Dinajpur,April,1,7.503474060706151,27.04665837831903,62.96206938718837,52.024971995941954,170.52723808483458,5.6829057417832916,khorip green chilli
Jashore,April,1,12.633747578835113,29.22804657070359,66.03279065472572,55.795454787243635,208.9748168526924,5.029405329476074,khorip green chilli
Jashore,April,1,11.701757017867623,29.21457750285203,66.76811190654458,55.643413478197346,207.19525026133837,4.8795375906777245,khorip green chilli
Rajshahi,April,1,13.144118408230746,29.266450238844435,62.0744326497665,57.31839038290812,187.86786020705523,5.985208840188513,khorip green chilli
Rangpur,April,1,10.68946319636936,26.32933921137746,69.14643394234876,51.533395278474174,147.16970799184932,4.153292095094782,khorip green chilli
Barisal,April,3,25.55244704569894,29.066080589428026,79.45388114562742,54.61883962946297,195.28718502862563,7.325534484128268,khorip green chilli
Rajshahi,April,1,13.563914314366878,28.857084751090788,60.74172893369338,57.24031002362486,186.63168170028715,6.100818978595187,khorip green chilli
Jashore,April,1,11.050835199594243,29.057483765523433,66.69200249095961,55.32803069740371,209.4238909421192,5.03549898369951,khorip green chilli
Cumilla,March,1,6.9246490362252855,25.058882899296336,71.14520312093697,52.37075875489452,218.2710769732629,4.873888311838791,khorip green chilli
Bogra,April,1,8.425162547465655,28.495565402925582,67.27699387555174,56.12012112737616,175.70217996146383,6.722593402505274,khorip green chilli
Bogra,April,1,7.779726518895564,28.701086820242594,66.93137838251381,56.169944915791035,176.9784992250361,6.740547603865633,khorip green chilli
Jashore,April,1,11.763705815770107,29.215570806576395,66.58868740315178,55.47061669180694,205.3790784209679,4.896644622688182,khorip green chilli
Bogra,April,1,8.003225073418902,28.320090136240257,65.92256474992081,56.08659108230422,171.91178858785034,6.918314107916273,khorip green chilli
Cumilla,March,1,7.22310360032161,25.03088350298098,70.90139879918017,52.92704542939717,216.9392482089172,4.938299264083181,khorip green chilli
Bogra,April,1,8.115532832070574,28.49620420173287,65.52060495608333,56.30075853252062,172.95412692122963,6.700159679379856,khorip green chilli
Rajshahi,April,1,12.13415299557368,29.276609939666635,62.35121572483568,56.902428544318916,186.2024195229721,6.342730118860275,khorip green chilli
Bogra,April,1,8.300716620426394,28.326352741597944,66.24439135292633,56.007143688626,173.45609482807407,6.707044794485903,khorip green chilli
Jashore,April,1,11.358330432137238,29.56631059564409,66.67235658545093,55.20012817919522,208.30269786472772,5.2557973301549845,khorip green chilli
Barisal,April,3,25.379916305270648,29.297711827061196,79.38937271142565,54.574037355659115,195.76205193215307,7.442456301591013,khorip green chilli
Rajshahi,April,1,14.233769040057247,29.230808889741517,61.019475849870645,57.01292475298241,181.61125258463017,6.221503503666026,khorip green chilli
Dinajpur,April,1,7.655716403739737,26.786964838547437,63.89081768393602,52.10566218337554,171.31434823886067,5.659791533672012,khorip green chilli
Bogra,April,1,8.002155529035504,28.407579366123517,65.97012242150178,56.09820403903153,172.55671702564726,6.68773684466536,khorip green chilli
Barisal,April,3,25.82014708591487,29.036006971357914,79.2899625134194,54.59450698074035,197.90298689883824,7.464895715571691,khorip green chilli
